Rk,Player,Squad,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
240,Marcel Halstenberg,RB Leipzig,0,1,1,100,0.49,0.49,0,0,9,0,0,0,0.1,0.1,0.12,-0.1,-0.1
241,Samir Handanovi?,Inter ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
242,Jesper Hansen,Midtjylland ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
243,Denys Harmash,Dynamo Kyiv,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
244,Hans Hateboer,Atalanta ,0,2,1,50,0.34,0.17,0,0,13,0,0,0,0.4,0.4,0.22,-0.4,-0.4
245,Kai Havertz,Chelsea ,0,5,1,20,1.35,0.27,0,0,17.6,1,0,0,0.5,0.5,0.1,-0.5,-0.5
246,Eden Hazard,Real Madrid,1,3,1,33.3,1.68,0.56,0,0,21,0,1,1,1,0.2,0.08,0,-0.2
247,Thorgan Hazard,Dortmund ,1,11,7,63.6,2.74,1.75,0.09,0.14,17.2,0,0,0,0.6,0.6,0.06,0.4,0.4
248,Hwang Hee-chan,RB Leipzig,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
249,Marcel Heister,Ferencváros ,0,4,0,0,0.94,0,0,,28.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
250,Dean Henderson,Manchester Utd,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
251,Jordan Henderson,Liverpool ,0,3,0,0,0.98,0,0,,25.5,1,0,0,0.1,0.1,0.05,-0.1,-0.1
252,Benjamin Henrichs,RB Leipzig,0,2,0,0,1.57,0,0,,14.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
253,Dalbert Henrique,Rennes ,0,2,1,50,0.81,0.4,0,0,17.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1
254,Luis Henrique,Marseille ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
255,Mario Hermoso,Atlético Madrid,1,2,1,50,0.82,0.41,0.5,1,7,0,0,0,0.2,0.2,0.11,0.8,0.8
256,Lucas Hernández,Bayern Munich,1,6,1,16.7,1.32,0.22,0.17,1,22.6,0,0,0,0.2,0.2,0.04,0.8,0.8
257,Ander Herrera,Paris S-G,0,5,0,0,1.24,0,0,,19.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2
258,Héctor Herrera,Atlético Madrid,0,6,1,16.7,1.81,0.3,0,0,24.6,1,0,0,0.4,0.4,0.06,-0.4,-0.4
259,Patrick Herrmann,M'Gladbach ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
260,Marwin Hitz,Dortmund ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
261,Wesley Hoedt,Lazio ,0,1,0,0,0.2,0,0,,23.5,0,0,0,0,0,0.04,0,0
262,Jonas Hofmann,M'Gladbach ,1,2,2,100,0.71,0.71,0.5,0.5,15.4,0,0,0,0.3,0.3,0.13,0.7,0.7
263,José Holebas,Olympiacos ,0,1,0,0,0.21,0,0,,12.2,0,0,0,0,0,0.03,0,0
264,Ethan Horvath,Club Brugge,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
265,Callum Hudson-Odoi,Chelsea ,2,4,2,50,1.43,0.72,0.5,1,15.5,0,0,0,0.5,0.5,0.12,1.5,1.5
266,Mats Hummels,Dortmund ,0,2,1,50,0.42,0.21,0,0,10.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1
267,Adrien Hunou,Rennes ,0,3,2,66.7,3.03,2.02,0,0,16.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3
268,Klaas-Jan Huntelaar,Ajax ,0,1,1,100,2.2,2.2,0,0,7,0,0,0,0.4,0.4,0.36,-0.4,-0.4
269,Daniel Høegh,Midtjylland ,0,1,0,0,1,0,0,,8.2,0,0,0,0,0,0.03,0,0
270,Oussama Idrissi,Sevilla ,0,2,1,50,1.21,0.6,0,0,14.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2
271,Odion Ighalo,Manchester Utd,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
272,Vladislav Ignatyev,Loko Moscow,0,2,1,50,0.46,0.23,0,0,14.9,0,0,0,0.2,0.2,0.08,-0.2,-0.2
273,Josip Ili?i?,Atalanta ,1,8,3,37.5,3.36,1.26,0.13,0.33,17.9,2,0,0,1.3,1.3,0.17,-0.3,-0.3
274,Ciro Immobile,Lazio ,5,10,5,50,2.78,1.39,0.2,0.4,18.7,0,3,3,3.6,1.3,0.13,1.4,0.7
275,Nikita Iosifov,Loko Moscow,0,1,1,100,6,6,0,0,17.5,0,0,0,0.2,0.2,0.16,-0.2,-0.2
276,Isael,Ferencváros ,0,6,1,16.7,1.49,0.25,0,0,17.6,0,0,0,0.4,0.4,0.06,-0.4,-0.4
277,Gustav Isaksen,Midtjylland ,0,2,1,50,3.91,1.96,0,0,19.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
278,Isco,Real Madrid,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
279,Daniel James,Manchester Utd,1,1,1,100,2.57,2.57,1,1,9,0,0,0,0.5,0.5,0.54,0.5,0.5
280,Manjrekar James,Midtjylland ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
281,Reece James,Chelsea ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
282,Tony Jantschke,M'Gladbach ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
283,Gabriel Jesus,Manchester City,1,7,3,42.9,5.29,2.27,0.14,0.33,10.9,0,0,0,0.7,0.7,0.1,0.3,0.3
284,Curtis Jones,Liverpool ,1,6,4,66.7,1.71,1.14,0.17,0.25,17.6,0,0,0,0.6,0.6,0.1,0.4,0.4
285,Frenkie de Jong,Barcelona ,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
286,Luuk de Jong,Sevilla ,1,9,5,55.6,2.56,1.42,0.11,0.2,9.5,0,0,0,0.9,0.9,0.1,0.1,0.1
